sample_id,top_depth,age,c22_fconc,c24_fconc,c26_fconc,c28_fconc
DBG001,0,-39,33.9705405047151,84.0011648824993,64.8985628473454,39.2010148714835
DBG002,2,205,53.6693107418455,135.632090115985,108.992143878727,67.3161543664529
DBG003,4,448,27.8575056215954,83.2652797044735,76.4485504009017,53.0269676655526
DBG004,7,787,18.5319626076495,43.3812534107509,37.3022423559149,25.0375709294915
DBG005,12,1213,20.4775055765969,49.7934483300726,43.5056277394943,29.62342643562
DBG006,14,1343,29.1966137275483,94.1971530304662,94.1971530304662,65.5775125911218
DBG007,20,1666,25.0099620015986,76.5989192073537,74.6952676499458,52.0418141167913
DBG008,25,1927,19.2050043611685,71.7586289012578,79.4101144664816,56.6570126541057
DBG009,30,2222,11.0637914591267,33.4476565810882,37.2891119815569,25.3953750685674
DBG010,35,2790,7.77750076678312,21.1919844401061,21.5273465319392,14.5685831264029
DBG011,40,3411,9.61893823839083,35.3757567894502,38.2916230405136,27.9240985922884
DBG012,45,3824,6.3677708602801,21.5071661894311,24.9200934601646,20.3695237658533
DBG013,50,4246,3.15631097644894,12.0650262017822,14.3729835140447,11.280320715613
DBG014,55,4674,4.53330735498179,13.5543164242146,16.5613194472922,13.8979739125663
DBG015,60,5064,6.71827926114209,22.7235967279626,26.6106023984761,23.2952152089204
DBG016,65,5349,6.10601634085186,21.3779348579335,24.3209608221627,18.6735326205336
DBG017,70,5671,8.18800921092118,23.0805924440046,29.5616240361798,25.2869010711281
DBG018,75,5774,1.06125715904716,7.18720788906975,12.796512171982,12.944125442585
DBG019,80,5950,1.36058001491023,6.7322325166157,9.04912907251537,6.65935913014969
DBG020,85,6112,2.9608183947788,8.76067033341475,12.2966131601471,11.1659912239486
DBG021,90,6207,3.26852485090159,11.2826120979779,20.7721454564345,21.1677511185917
